"merge_id","hid.x","pid.x","gender","age","married","ethnicity","born_outside_accra","hid.y","pid.y","highest_education","hid","pid","seen_nih_card","nih"
"70215/05.1","70215/05",1,"Male",34,"Married","Dangme (Ada, Shai, Krobo, Osudoku,Ningo)",FALSE,"70215/05",1,"University (Bachelor)","70215/05",1,"Yes, card not seen",FALSE
"70215/05.2","70215/05",2,"Female",25,"Married","Kwahu",FALSE,"70215/05",2,"University (Bachelor)","70215/05",2,"Yes, card not seen",FALSE
"70215/05.3","70215/05",3,"Male",4,NA,"Kwahu",TRUE,"70215/05",3,"Kindergarten","70215/05",3,"Yes, card not seen",FALSE
"70215/05.5","70215/05",5,"Female",15,"Never married","Dangme (Ada, Shai, Krobo, Osudoku,Ningo)",TRUE,"70215/05",5,"JSS/JHS","70215/05",5,"Yes, card not seen",FALSE
"70215/06.1","70215/06",1,"Female",68,"Widowed","Ga",FALSE,"70215/06",1,"Primary","70215/06",1,"Yes, card not seen",FALSE
"70215/06.2","70215/06",2,"Female",36,"Never married","Ga",FALSE,"70215/06",2,"JSS/JHS","70215/06",2,NA,NA
"70215/06.3","70215/06",3,"Male",29,"Never married","Ga",FALSE,"70215/06",3,"Unviersity (Post Graduate)","70215/06",3,NA,NA
"70215/06.4","70215/06",4,"Male",9,NA,"Ga",FALSE,"70215/06",4,"Primary","70215/06",4,NA,NA
"70215/07.1","70215/07",1,"Female",69,"Widowed","Ga",FALSE,"70215/07",1,"Middle","70215/07",1,"Yes, card not seen",FALSE
"70215/07.2","70215/07",2,"Male",49,"Consensual Union","Ga",FALSE,"70215/07",2,"Secondary","70215/07",2,"Yes, card not seen",FALSE
"70215/07.3","70215/07",3,"Female",24,"Never married","Ga",FALSE,"70215/07",3,"University (Bachelor)","70215/07",3,"Yes, card not seen",FALSE
"70215/07.4","70215/07",4,"Male",16,"Never married","Ga",FALSE,"70215/07",4,"SSS/SHS","70215/07",4,"Yes, card not seen",FALSE
