"merge_id","hid.x","pid.x","gender","age","married","ethnicity","born_outside_accra","hid.y","pid.y","highest_education","hid","pid","seen_nih_card","nih"
"70211/14.2","70211/14",2,"Female",18,"Consensual Union","Ga",FALSE,"70211/14",2,"Primary","70211/14",2,"Yes, card seen",TRUE
"70211/15.1","70211/15",1,"Male",52,"Consensual Union","Fante",TRUE,"70211/15",1,"Middle","70211/15",1,NA,NA
"70211/15.2","70211/15",2,"Female",46,"Consensual Union","Akuapem",FALSE,"70211/15",2,"Primary","70211/15",2,NA,NA
"70211/15.3","70211/15",3,"Female",19,"Never married","Fante",FALSE,"70211/15",3,"JSS/JHS","70211/15",3,"Yes, card seen",TRUE
"70211/15.4","70211/15",4,"Male",14,"Never married","Fante",FALSE,"70211/15",4,"JSS/JHS","70211/15",4,"Yes, card seen",TRUE
"70212/01.1","70212/01",1,"Female",45,"Married","Ga",FALSE,"70212/01",1,"Middle","70212/01",1,NA,NA
"70212/01.2","70212/01",2,"Female",17,"Never married","Ga",FALSE,"70212/01",2,"SSS/SHS","70212/01",2,"Yes, card not seen",FALSE
"70212/01.3","70212/01",3,"Male",17,"Never married","Ga",FALSE,"70212/01",3,"JSS/JHS","70212/01",3,"Yes, card not seen",FALSE
"70212/02.1","70212/02",1,"Male",26,"Never married","Dangme (Ada, Shai, Krobo, Osudoku,Ningo)",FALSE,"70212/02",1,"Polytechnic","70212/02",1,NA,NA
"70212/03.1","70212/03",1,"Male",38,"Married","Fante",FALSE,"70212/03",1,"SSS/SHS","70212/03",1,NA,NA
"70212/03.2","70212/03",2,"Female",34,"Married","Fante",TRUE,"70212/03",2,"JSS/JHS","70212/03",2,NA,NA
"70212/04.1","70212/04",1,"Male",46,"Married","Dangme (Ada, Shai, Krobo, Osudoku,Ningo)",FALSE,"70212/04",1,"Voc/Tech/Comm","70212/04",1,"Yes, card not seen",FALSE
"70212/04.2","70212/04",2,"Female",38,"Married","Ga",FALSE,"70212/04",2,"JSS/JHS","70212/04",2,NA,NA
"70212/04.4","70212/04",4,"Male",18,"Never married","Dangme (Ada, Shai, Krobo, Osudoku,Ningo)",FALSE,"70212/04",4,"SSS/SHS","70212/04",4,"Yes, card not seen",FALSE
"70212/04.5","70212/04",5,"Male",12,"Never married","Dangme (Ada, Shai, Krobo, Osudoku,Ningo)",FALSE,"70212/04",5,"Primary","70212/04",5,"Yes, card not seen",FALSE
"70212/04.6","70212/04",6,"Female",10,NA,"Dangme (Ada, Shai, Krobo, Osudoku,Ningo)",FALSE,"70212/04",6,"Primary","70212/04",6,"Yes, card not seen",FALSE
"70212/04.7","70212/04",7,"Female",3,NA,"Dangme (Ada, Shai, Krobo, Osudoku,Ningo)",FALSE,"70212/04",7,"Kindergarten","70212/04",7,"Yes, card not seen",FALSE
"70212/05.1","70212/05",1,"Female",40,"Married","Fante",TRUE,"70212/05",1,"JSS/JHS","70212/05",1,"Yes, card not seen",FALSE
"70212/05.2","70212/05",2,"Male",4,NA,"Asante",FALSE,"70212/05",2,"Kindergarten","70212/05",2,"Yes, card not seen",FALSE
"70212/06.1","70212/06",1,"Female",54,"Divorced","Asante",TRUE,"70212/06",1,"Middle","70212/06",1,NA,NA
"70212/06.2","70212/06",2,"Male",18,"Never married","Asante",FALSE,"70212/06",2,"SSS/SHS","70212/06",2,"Yes, card not seen",FALSE
"70212/07.1","70212/07",1,"Male",74,"Consensual Union","Fante",TRUE,"70212/07",1,"Secondary","70212/07",1,NA,NA
"70212/07.2","70212/07",2,"Female",64,"Widowed","Fante",TRUE,"70212/07",2,"Middle","70212/07",2,NA,NA
"70212/07.3","70212/07",3,"Male",32,"Never married","Fante",TRUE,"70212/07",3,"SSS/SHS","70212/07",3,NA,NA
"70212/07.4","70212/07",4,"Female",16,"Never married","Fante",TRUE,"70212/07",4,"SSS/SHS","70212/07",4,NA,NA
"70212/08.1","70212/08",1,"Female",40,"Divorced","Fante",FALSE,"70212/08",1,"Middle","70212/08",1,NA,NA
"70212/09.1","70212/09",1,"Female",45,"Widowed","Kwahu",TRUE,"70212/09",1,"JSS/JHS","70212/09",1,"Yes, card seen",TRUE
"70212/09.2","70212/09",2,"Male",16,"Never married","Kwahu",FALSE,"70212/09",2,"Voc/Tech/Comm","70212/09",2,NA,NA
"70212/09.3","70212/09",3,"Male",10,NA,"Kwahu",FALSE,"70212/09",3,"Primary","70212/09",3,"Yes, card seen",TRUE
"70212/09.4","70212/09",4,"Female",7,NA,"Kwahu",FALSE,"70212/09",4,"Primary","70212/09",4,"Yes, card seen",TRUE
"70212/09.5","70212/09",5,"Male",5,NA,"Kwahu",FALSE,"70212/09",5,"Kindergarten","70212/09",5,"Yes, card seen",TRUE
"70212/10.1","70212/10",1,"Male",59,"Married","Fante",TRUE,"70212/10",1,"Primary","70212/10",1,NA,NA
"70212/10.10","70212/10",10,"Female",9,NA,"Fante",FALSE,"70212/10",10,"Primary","70212/10",10,NA,NA
"70212/10.11","70212/10",11,"Female",9,NA,"Fante",FALSE,"70212/10",11,"Primary","70212/10",11,NA,NA
"70212/10.12","70212/10",12,"Female",80,"Widowed","Fante",TRUE,"70212/10",12,NA,"70212/10",12,NA,NA
"70212/10.2","70212/10",2,"Female",50,"Married","Fante",TRUE,"70212/10",2,"Middle","70212/10",2,NA,NA
"70212/10.3","70212/10",3,"Male",28,"Never married","Fante",TRUE,"70212/10",3,"Polytechnic","70212/10",3,NA,NA
"70212/10.4","70212/10",4,"Male",26,"Never married","Fante",TRUE,"70212/10",4,"University (Bachelor)","70212/10",4,NA,NA
"70212/10.5","70212/10",5,"Female",24,"Never married","Fante",FALSE,"70212/10",5,"Teacher Training/Agric/ Nursing Cert","70212/10",5,NA,NA
"70212/10.6","70212/10",6,"Female",24,"Never married","Fante",FALSE,"70212/10",6,"SSS/SHS","70212/10",6,NA,NA
"70212/10.7","70212/10",7,"Female",24,"Never married","Fante",FALSE,"70212/10",7,"Polytechnic","70212/10",7,NA,NA
"70212/10.8","70212/10",8,"Male",17,"Never married","Fante",FALSE,"70212/10",8,"SSS/SHS","70212/10",8,NA,NA
"70212/10.9","70212/10",9,"Female",12,"Never married","Fante",FALSE,"70212/10",9,"JSS/JHS","70212/10",9,NA,NA
"70212/11.1","70212/11",1,"Male",27,"Never married","Ga",FALSE,"70212/11",1,"SSS/SHS","70212/11",1,NA,NA
"70212/12.1","70212/12",1,"Male",43,"Married","Ga",FALSE,"70212/12",1,"Secondary","70212/12",1,NA,NA
"70212/12.2","70212/12",2,"Female",39,"Married","Ga",FALSE,"70212/12",2,"JSS/JHS","70212/12",2,NA,NA
"70212/12.3","70212/12",3,"Female",20,"Never married","Ga",FALSE,"70212/12",3,"SSS/SHS","70212/12",3,"Yes, card not seen",FALSE
"70212/12.4","70212/12",4,"Female",5,NA,"Ga",FALSE,"70212/12",4,"Kindergarten","70212/12",4,"Yes, card not seen",FALSE
"70212/12.5","70212/12",5,"Female",4,NA,"Ga",FALSE,"70212/12",5,"Kindergarten","70212/12",5,NA,NA
"70212/13.1","70212/13",1,"Female",29,"Never married","Kwahu",TRUE,"70212/13",1,"JSS/JHS","70212/13",1,NA,NA
"70212/13.2","70212/13",2,"Female",3,NA,"Kwahu",FALSE,"70212/13",2,"None","70212/13",2,NA,NA
"70212/14.1","70212/14",1,"Male",29,"Consensual Union",NA,TRUE,"70212/14",1,"JSS/JHS","70212/14",1,NA,NA
"70212/14.2","70212/14",2,"Female",26,"Consensual Union","Akuapem",TRUE,"70212/14",2,"JSS/JHS","70212/14",2,NA,NA
"70212/14.3","70212/14",3,"Male",3,NA,"Akuapem",TRUE,"70212/14",3,"Kindergarten","70212/14",3,NA,NA
"70212/15.1","70212/15",1,"Male",50,"Divorced","Fante",TRUE,"70212/15",1,"Middle","70212/15",1,NA,NA
"70212/15.2","70212/15",2,"Male",22,"Never married","Fante",TRUE,"70212/15",2,"SSS/SHS","70212/15",2,NA,NA
"70212/15.3","70212/15",3,"Female",12,"Never married","Fante",FALSE,"70212/15",3,"JSS/JHS","70212/15",3,NA,NA
"70212/15.4","70212/15",4,"Male",11,NA,"Fante",FALSE,"70212/15",4,"Primary","70212/15",4,NA,NA
"70213/01.1","70213/01",1,"Male",46,"Consensual Union","Akuapem",FALSE,"70213/01",1,"Middle","70213/01",1,NA,NA
"70213/01.2","70213/01",2,"Female",41,"Consensual Union","Ga",FALSE,"70213/01",2,"Secondary","70213/01",2,"Yes, card seen but expired",FALSE
"70213/01.3","70213/01",3,"Female",14,"Never married","Akuapem",FALSE,"70213/01",3,"JSS/JHS","70213/01",3,"Yes, card seen but expired",FALSE
"70213/01.4","70213/01",4,"Female",11,NA,"Akuapem",FALSE,"70213/01",4,"JSS/JHS","70213/01",4,"Yes, card seen but expired",FALSE
"70213/01.5","70213/01",5,"Male",6,NA,"Akuapem",FALSE,"70213/01",5,"Kindergarten","70213/01",5,"Yes, card seen but expired",FALSE
"70213/01.6","70213/01",6,"Female",4,NA,"Akuapem",FALSE,"70213/01",6,"Kindergarten","70213/01",6,"Yes, card seen but expired",FALSE
"70213/02.1","70213/02",1,"Male",39,"Married","Ga",FALSE,"70213/02",1,"Voc/Tech/Comm","70213/02",1,"Yes, card not seen",FALSE
"70213/02.2","70213/02",2,"Female",37,"Married","Ga",FALSE,"70213/02",2,"Polytechnic","70213/02",2,"Yes, card seen but expired",FALSE
"70213/03.1","70213/03",1,"Male",21,"Never married","Ga",FALSE,"70213/03",1,"JSS/JHS","70213/03",1,NA,NA
"70213/04.1","70213/04",1,"Male",53,"Separated","Akuapem",FALSE,"70213/04",1,"Primary","70213/04",1,"Yes, card not seen",FALSE
"70213/05.1","70213/05",1,"Female",59,"Married","Ga",FALSE,"70213/05",1,"Middle","70213/05",1,"Yes, card not seen",FALSE
"70213/05.2","70213/05",2,"Male",75,"Married","Ga",FALSE,"70213/05",2,"Secondary","70213/05",2,"Yes, card not seen",FALSE
"70213/05.3","70213/05",3,"Female",23,"Consensual Union","Ga",FALSE,"70213/05",3,"SSS/SHS","70213/05",3,NA,NA
"70213/05.4","70213/05",4,"Male",29,"Consensual Union","Ewe",FALSE,"70213/05",4,"JSS/JHS","70213/05",4,NA,NA
"70213/05.5","70213/05",5,"Female",3,NA,"Ewe",FALSE,"70213/05",5,"None","70213/05",5,NA,NA
"70213/05.7","70213/05",7,"Male",13,"Never married","Ga",FALSE,"70213/05",7,"Primary","70213/05",7,NA,NA
"70213/06.1","70213/06",1,"Male",37,"Married","Akyem",TRUE,"70213/06",1,"JSS/JHS","70213/06",1,NA,NA
"70213/06.2","70213/06",2,"Female",29,"Married","Akyem",TRUE,"70213/06",2,"SSS/SHS","70213/06",2,"Yes, card seen",TRUE
"70213/07.1","70213/07",1,"Male",49,"Consensual Union","Ga",FALSE,"70213/07",1,"Middle","70213/07",1,NA,NA
"70213/07.2","70213/07",2,"Female",38,"Consensual Union","Ewe",TRUE,"70213/07",2,NA,"70213/07",2,NA,NA
"70213/08.1","70213/08",1,"Female",48,"Separated","Ga",FALSE,"70213/08",1,"Middle","70213/08",1,NA,NA
"70213/08.2","70213/08",2,"Female",22,"Separated","Ga",FALSE,"70213/08",2,"JSS/JHS","70213/08",2,NA,NA
"70213/09.1","70213/09",1,"Male",36,"Married","Ga",FALSE,"70213/09",1,"Voc/Tech/Comm","70213/09",1,"Yes, card not seen",FALSE
"70213/09.2","70213/09",2,"Female",33,"Married","Ga",FALSE,"70213/09",2,"University (Bachelor)","70213/09",2,"Yes, card not seen",FALSE
"70213/10.1","70213/10",1,"Female",49,"Separated","Ga",FALSE,"70213/10",1,"Secondary","70213/10",1,NA,NA
"70213/10.2","70213/10",2,"Male",24,"Never married","Ga",FALSE,"70213/10",2,"Professional","70213/10",2,"Yes, card not seen",FALSE
"70213/10.3","70213/10",3,"Female",21,"Never married","Ga",FALSE,"70213/10",3,"SSS/SHS","70213/10",3,"Yes, card not seen",FALSE
"70213/10.4","70213/10",4,"Female",16,"Never married","Ga",FALSE,"70213/10",4,"SSS/SHS","70213/10",4,"Yes, card not seen",FALSE
"70213/11.1","70213/11",1,"Male",68,"Widowed","Ga",FALSE,"70213/11",1,"Middle","70213/11",1,NA,NA
"70213/11.2","70213/11",2,"Female",22,"Never married","Ewe",FALSE,"70213/11",2,NA,"70213/11",2,NA,NA
"70213/12.1","70213/12",1,"Female",45,"Separated","Ga",FALSE,"70213/12",1,"Professional","70213/12",1,"Yes, card seen but expired",FALSE
"70213/12.2","70213/12",2,"Female",55,"Separated","Dangme (Ada, Shai, Krobo, Osudoku,Ningo)",FALSE,"70213/12",2,"Middle","70213/12",2,NA,NA
"70213/12.3","70213/12",3,"Male",27,"Never married","Akyem",FALSE,"70213/12",3,"University (Bachelor)","70213/12",3,"Yes, card seen but expired",FALSE
"70213/13.1","70213/13",1,"Female",33,"Separated","Ga",FALSE,"70213/13",1,"Voc/Tech/Comm","70213/13",1,NA,NA
"70213/13.2","70213/13",2,"Male",11,NA,"Ga",FALSE,"70213/13",2,"Primary","70213/13",2,NA,NA
"70213/13.3","70213/13",3,"Male",8,NA,"Ga",FALSE,"70213/13",3,"Primary","70213/13",3,NA,NA
"70213/14.1","70213/14",1,"Female",64,"Separated","Ga",FALSE,"70213/14",1,"Middle","70213/14",1,NA,NA
"70213/14.2","70213/14",2,"Female",25,"Consensual Union","Ga",FALSE,"70213/14",2,"Voc/Tech/Comm","70213/14",2,NA,NA
"70213/14.3","70213/14",3,"Female",5,NA,"Ga",FALSE,"70213/14",3,"None","70213/14",3,"Yes, card not seen",FALSE
"70213/15.1","70213/15",1,"Male",80,"Married","Ga",FALSE,"70213/15",1,"Secondary","70213/15",1,"Yes, card not seen",FALSE
"70213/15.2","70213/15",2,"Female",75,"Married","Ga",FALSE,"70213/15",2,"Secondary","70213/15",2,"Yes, card not seen",FALSE
"70213/15.3","70213/15",3,"Male",51,"Separated","Ga",FALSE,"70213/15",3,"Secondary","70213/15",3,"Yes, card not seen",FALSE
"70213/15.4","70213/15",4,"Male",30,"Never married","Ga",FALSE,"70213/15",4,"Voc/Tech/Comm","70213/15",4,NA,NA
