"REGION","AGE","SEX","ETHNICITY","EDLEVEL","EDGRADE","WORKED"
3,23,2,22,4,3,2
3,19,2,22,3,0,2
3,30,1,22,NA,NA,1
3,52,2,22,NA,NA,2
3,23,2,22,4,3,2
3,60,1,22,3,2,1
3,40,2,21,3,1,1
3,32,1,22,NA,NA,1
3,29,2,22,NA,NA,1
3,27,2,22,NA,NA,1
3,25,1,22,NA,NA,1
3,22,1,22,3,5,1
3,23,2,22,NA,NA,1
3,22,2,22,NA,NA,1
3,22,2,22,NA,NA,1
3,68,1,22,3,0,2
3,28,2,22,NA,NA,1
3,40,2,30,NA,NA,1
3,43,2,22,3,4,1
3,20,2,22,4,3,2
3,60,2,22,NA,NA,2
3,30,1,14,4,3,1
3,24,1,14,10,0,2
3,26,1,30,6,3,2
3,24,1,14,6,3,1
3,22,1,14,4,3,1
3,26,1,14,4,3,1
3,31,1,14,5,4,1
3,42,1,22,3,6,2
3,42,2,22,5,4,1
3,22,1,22,11,1,2
3,66,1,22,10,3,1
3,59,2,22,7,1,2
3,47,1,22,7,4,2
3,37,1,22,5,4,1
3,40,1,22,11,4,1
3,28,1,22,6,3,1
3,64,1,97,8,3,1
3,38,1,22,NA,NA,1
3,30,2,22,NA,NA,1
3,24,1,22,3,4,1
3,22,2,22,4,3,1
3,36,2,22,7,1,1
3,28,1,22,NA,NA,1
3,38,2,22,5,1,1
3,19,2,22,NA,NA,2
3,38,2,22,NA,NA,1
3,43,2,22,NA,NA,1
3,26,2,22,NA,NA,1
3,21,1,22,4,1,1
3,20,2,22,3,5,1
3,55,1,8,NA,NA,1
3,35,2,6,4,1,1
3,33,1,22,3,1,1
3,25,1,30,6,1,2
3,39,1,22,NA,NA,1
3,37,2,22,NA,NA,1
3,23,2,10,6,3,2
3,45,2,22,NA,NA,1
3,98,1,22,NA,NA,2
3,90,2,22,NA,NA,2
3,47,1,67,5,4,1
3,60,2,22,NA,NA,2
3,64,1,22,NA,NA,2
3,53,2,22,NA,NA,1
3,25,1,22,4,3,1
3,21,2,22,NA,NA,1
3,19,2,22,3,5,1
3,26,1,4,4,3,1
3,31,1,12,4,1,1
3,29,2,12,3,5,1
3,33,1,22,NA,NA,1
3,27,2,22,4,3,1
3,66,2,22,NA,NA,1
3,38,2,22,3,5,1
3,27,2,22,4,3,1
3,41,1,14,5,4,2
3,39,2,14,5,4,2
3,64,1,22,NA,NA,1
3,40,2,22,NA,NA,1
3,23,2,22,4,1,1
3,35,2,22,NA,NA,2
3,34,1,22,NA,NA,1
3,25,1,14,3,3,2
3,42,1,14,5,4,1
3,36,2,22,4,3,1
3,20,1,22,4,1,1
3,80,2,22,3,2,2
3,30,1,22,NA,NA,1
3,21,2,14,4,0,1
3,57,2,8,5,4,1
3,25,2,8,NA,NA,1
3,44,2,22,3,5,1
3,31,1,8,4,3,1
3,24,2,30,4,3,1
3,48,1,22,5,4,2
3,45,2,22,NA,NA,1
3,20,2,22,4,2,2
3,68,2,22,NA,NA,2
3,47,1,22,5,4,1
3,25,1,21,6,3,1
3,32,1,22,4,3,1
3,45,2,72,3,4,1
3,25,2,97,3,1,1
3,29,1,30,7,3,2
3,28,2,30,4,2,1
3,28,2,22,NA,NA,1
3,62,2,22,3,1,1
3,40,1,4,6,3,1
3,31,2,22,4,3,1
